date,hour,temp
2014/8/1,0,27.9
2014/8/1,1,27.9
2014/8/1,2,27.1
2014/8/1,3,26.8
2014/8/1,4,26.9
2014/8/1,5,27.3
2014/8/1,6,28.3
2014/8/1,7,29.4
2014/8/1,8,30.2
2014/8/1,9,32.2
2014/8/1,10,32.6
2014/8/1,11,32.7
2014/8/1,12,32.4
2014/8/1,13,32.8
2014/8/1,14,32.7
2014/8/1,15,32.3
2014/8/1,16,31.5
2014/8/1,17,30.5
2014/8/1,18,29.5
2014/8/1,19,28.9
2014/8/1,20,29.8
2014/8/1,21,29
2014/8/1,22,28
2014/8/1,23,27.9
2014/8/2,0,27.9
2014/8/2,1,27.3
2014/8/2,2,27.5
2014/8/2,3,27.5
2014/8/2,4,27.3
2014/8/2,5,27.6
2014/8/2,6,29.2
2014/8/2,7,30.5
2014/8/2,8,31.4
2014/8/2,9,31.9
2014/8/2,10,33.3
2014/8/2,11,33.3
2014/8/2,12,34.1
2014/8/2,13,34.6
2014/8/2,14,33.9
2014/8/2,15,33.1
2014/8/2,16,33.2
2014/8/2,17,32.9
2014/8/2,18,31.9
2014/8/2,19,31.5
2014/8/2,20,31.5
2014/8/2,21,31
2014/8/2,22,30.4
2014/8/2,23,29.8
2014/8/3,0,29.3
2014/8/3,1,29.3
2014/8/3,2,28.2
2014/8/3,3,28.3
2014/8/3,4,28.5
2014/8/3,5,28.4
2014/8/3,6,29.3
2014/8/3,7,30.4
2014/8/3,8,32
2014/8/3,9,32.8
2014/8/3,10,33.2
2014/8/3,11,33.6
2014/8/3,12,35
2014/8/3,13,35.2
2014/8/3,14,33.2
2014/8/3,15,32.2
2014/8/3,16,31.7
2014/8/3,17,31.9
2014/8/3,18,31
2014/8/3,19,30.7
2014/8/3,20,30.4
2014/8/3,21,29.8
2014/8/3,22,29.6
2014/8/3,23,29.4
2014/8/4,0,28.7
2014/8/4,1,28.5
2014/8/4,2,28.3
2014/8/4,3,28.1
2014/8/4,4,27.9
2014/8/4,5,28.4
2014/8/4,6,29.1
2014/8/4,7,30.5
2014/8/4,8,31.2
2014/8/4,9,32.7
2014/8/4,10,33.2
2014/8/4,11,32.7
2014/8/4,12,34.1
2014/8/4,13,32.7
2014/8/4,14,32
2014/8/4,15,31.9
2014/8/4,16,31.5
2014/8/4,17,31.6
2014/8/4,18,31.1
2014/8/4,19,30.5
2014/8/4,20,29.8
2014/8/4,21,29.1
2014/8/4,22,28.7
2014/8/4,23,28.7
2014/8/5,0,28.7
2014/8/5,1,28.5
2014/8/5,2,28.2
2014/8/5,3,28.3
2014/8/5,4,28.1
2014/8/5,5,28.5
2014/8/5,6,29.7
2014/8/5,7,31.1
2014/8/5,8,31.7
2014/8/5,9,32.8
2014/8/5,10,33.9
2014/8/5,11,34.3
2014/8/5,12,34.7
2014/8/5,13,35.5
2014/8/5,14,34.3
2014/8/5,15,33.9
2014/8/5,16,32.9
2014/8/5,17,32.1
2014/8/5,18,30.9
2014/8/5,19,30.3
2014/8/5,20,29.7
2014/8/5,21,29.5
2014/8/5,22,29.4
2014/8/5,23,29.1
2014/8/6,0,28.8
2014/8/6,1,28.7
2014/8/6,2,28.4
2014/8/6,3,28.1
2014/8/6,4,28
2014/8/6,5,28.4
2014/8/6,6,29.8
2014/8/6,7,31
2014/8/6,8,32.1
2014/8/6,9,32.8
2014/8/6,10,34.2
2014/8/6,11,34.6
2014/8/6,12,34.7
2014/8/6,13,34.7
2014/8/6,14,34
2014/8/6,15,32.8
2014/8/6,16,32
2014/8/6,17,31.4
2014/8/6,18,30
2014/8/6,19,29.7
2014/8/6,20,29.3
2014/8/6,21,29.2
2014/8/6,22,28.8
2014/8/6,23,28.5
2014/8/7,0,28.4
2014/8/7,1,28.3
2014/8/7,2,28.3
2014/8/7,3,27.9
2014/8/7,4,27.8
2014/8/7,5,27.8
2014/8/7,6,29
2014/8/7,7,30.1
2014/8/7,8,30.9
2014/8/7,9,32
2014/8/7,10,31.2
2014/8/7,11,32.1
2014/8/7,12,32.8
2014/8/7,13,33.6
2014/8/7,14,32.1
2014/8/7,15,31.5
2014/8/7,16,30.9
2014/8/7,17,29.1
2014/8/7,18,28.6
2014/8/7,19,28.6
2014/8/7,20,28.5
2014/8/7,21,28.4
2014/8/7,22,28.1
2014/8/7,23,27.9
2014/8/8,0,27.8
2014/8/8,1,27.6
2014/8/8,2,27.4
2014/8/8,3,27
2014/8/8,4,26.9
2014/8/8,5,27.1
2014/8/8,6,28
2014/8/8,7,29.1
2014/8/8,8,29.8
2014/8/8,9,29.8
2014/8/8,10,31
2014/8/8,11,31.1
2014/8/8,12,30.3
2014/8/8,13,31
2014/8/8,14,30.2
2014/8/8,15,30.6
2014/8/8,16,31.2
2014/8/8,17,30.7
2014/8/8,18,30.2
2014/8/8,19,29.1
2014/8/8,20,28
2014/8/8,21,27.7
2014/8/8,22,27.6
2014/8/8,23,27.4
2014/8/9,0,27.1
2014/8/9,1,26.8
2014/8/9,2,26.4
2014/8/9,3,26.3
2014/8/9,4,26.2
2014/8/9,5,25.4
2014/8/9,6,25.3
2014/8/9,7,25.2
2014/8/9,8,25.5
2014/8/9,9,26.6
2014/8/9,10,26.4
2014/8/9,11,25.7
2014/8/9,12,26.7
2014/8/9,13,26.6
2014/8/9,14,26.6
2014/8/9,15,25.6
2014/8/9,16,25.8
2014/8/9,17,24.1
2014/8/9,18,23.8
2014/8/9,19,23.7
2014/8/9,20,23.7
2014/8/9,21,23.6
2014/8/9,22,23.4
2014/8/9,23,22.8
2014/8/10,0,22.6
2014/8/10,1,22.3
2014/8/10,2,22.3
2014/8/10,3,22.5
2014/8/10,4,22.5
2014/8/10,5,22.8
2014/8/10,6,23.3
2014/8/10,7,24.9
2014/8/10,8,27.6
2014/8/10,9,29.1
2014/8/10,10,28.9
2014/8/10,11,27.4
2014/8/10,12,26.9
2014/8/10,13,26.9
2014/8/10,14,28.9
2014/8/10,15,28.8
2014/8/10,16,28.3
2014/8/10,17,27.9
2014/8/10,18,26.4
2014/8/10,19,27.8
2014/8/10,20,28.2
2014/8/10,21,28.2
2014/8/10,22,28.3
2014/8/10,23,28.1
2014/8/11,0,27.9
2014/8/11,1,27.8
2014/8/11,2,27.7
2014/8/11,3,27.5
2014/8/11,4,27.4
2014/8/11,5,27.4
2014/8/11,6,28.4
2014/8/11,7,29.1
2014/8/11,8,30.1
2014/8/11,9,30.8
2014/8/11,10,32
2014/8/11,11,32.4
2014/8/11,12,31.9
2014/8/11,13,31.9
2014/8/11,14,31.5
2014/8/11,15,31.5
2014/8/11,16,30.7
2014/8/11,17,29.8
2014/8/11,18,29.5
2014/8/11,19,28.9
2014/8/11,20,28.4
2014/8/11,21,27.9
2014/8/11,22,27.8
2014/8/11,23,27.7
2014/8/12,0,27.7
2014/8/12,1,27.5
2014/8/12,2,27
2014/8/12,3,27.4
2014/8/12,4,27.3
2014/8/12,5,27.2
2014/8/12,6,27.3
2014/8/12,7,28
2014/8/12,8,28.2
2014/8/12,9,29.1
2014/8/12,10,29
2014/8/12,11,29.4
2014/8/12,12,28.6
2014/8/12,13,28.9
2014/8/12,14,28.5
2014/8/12,15,26.6
2014/8/12,16,25.7
2014/8/12,17,23.2
2014/8/12,18,22.6
2014/8/12,19,22.7
2014/8/12,20,22.3
2014/8/12,21,22.3
2014/8/12,22,22
2014/8/12,23,22
2014/8/13,0,22.3
2014/8/13,1,22.5
2014/8/13,2,22.3
2014/8/13,3,22.7
2014/8/13,4,22.7
2014/8/13,5,23.2
2014/8/13,6,23.9
2014/8/13,7,25.1
2014/8/13,8,26.2
2014/8/13,9,27.3
2014/8/13,10,28.3
2014/8/13,11,30.1
2014/8/13,12,30.1
2014/8/13,13,30.2
2014/8/13,14,30.5
2014/8/13,15,29.7
2014/8/13,16,29.9
2014/8/13,17,29.7
2014/8/13,18,28.8
2014/8/13,19,28
2014/8/13,20,27.7
2014/8/13,21,26.9
2014/8/13,22,27
2014/8/13,23,26.7
2014/8/14,0,26.8
2014/8/14,1,26.5
2014/8/14,2,26.1
2014/8/14,3,26.1
2014/8/14,4,26
2014/8/14,5,26.3
2014/8/14,6,27.1
2014/8/14,7,28.1
2014/8/14,8,28.5
2014/8/14,9,29.3
2014/8/14,10,29.7
2014/8/14,11,29.2
2014/8/14,12,27.9
2014/8/14,13,27.8
2014/8/14,14,26.2
2014/8/14,15,26.4
2014/8/14,16,27.1
2014/8/14,17,26.7
2014/8/14,18,26.3
2014/8/14,19,26.6
2014/8/14,20,26.6
2014/8/14,21,26.7
2014/8/14,22,26.4
2014/8/14,23,26.2
2014/8/15,0,26
2014/8/15,1,26.1
2014/8/15,2,26.2
2014/8/15,3,26.3
2014/8/15,4,26.3
2014/8/15,5,26.6
2014/8/15,6,28
2014/8/15,7,29.5
2014/8/15,8,30.5
2014/8/15,9,31.8
2014/8/15,10,32.2
2014/8/15,11,32
2014/8/15,12,33
2014/8/15,13,33
2014/8/15,14,32.5
2014/8/15,15,32.4
2014/8/15,16,31.4
2014/8/15,17,30.4
2014/8/15,18,30
2014/8/15,19,29.5
2014/8/15,20,29.1
2014/8/15,21,29.1
2014/8/15,22,28.3
2014/8/15,23,28.3
2014/8/16,0,28.1
2014/8/16,1,28
2014/8/16,2,28.1
2014/8/16,3,28.3
2014/8/16,4,28.2
2014/8/16,5,28.3
2014/8/16,6,29.1
2014/8/16,7,29.8
2014/8/16,8,30.2
2014/8/16,9,30.6
2014/8/16,10,28.3
2014/8/16,11,28.7
2014/8/16,12,30.4
2014/8/16,13,28.9
2014/8/16,14,26.7
2014/8/16,15,24.3
2014/8/16,16,23.9
2014/8/16,17,24.7
2014/8/16,18,24.8
2014/8/16,19,25.1
2014/8/16,20,23.8
2014/8/16,21,23.5
2014/8/16,22,23.5
2014/8/16,23,23.5
2014/8/17,0,23.3
2014/8/17,1,22.9
2014/8/17,2,22.9
2014/8/17,3,22.9
2014/8/17,4,22.8
2014/8/17,5,22.6
2014/8/17,6,23
2014/8/17,7,23.3
2014/8/17,8,23.8
2014/8/17,9,24.4
2014/8/17,10,25.7
2014/8/17,11,26.6
2014/8/17,12,27.5
2014/8/17,13,29.1
2014/8/17,14,29.8
2014/8/17,15,30.8
2014/8/17,16,30.3
2014/8/17,17,29.9
2014/8/17,18,29.5
2014/8/17,19,28.7
2014/8/17,20,28.3
2014/8/17,21,27.5
2014/8/17,22,26.8
2014/8/17,23,26.2
2014/8/18,0,26.3
2014/8/18,1,26.5
2014/8/18,2,26.2
2014/8/18,3,26.5
2014/8/18,4,26.4
2014/8/18,5,26.9
2014/8/18,6,26.8
2014/8/18,7,27
2014/8/18,8,28.7
2014/8/18,9,30.8
2014/8/18,10,30.7
2014/8/18,11,32.2
2014/8/18,12,32.3
2014/8/18,13,32
2014/8/18,14,31.8
2014/8/18,15,31.6
2014/8/18,16,30.3
2014/8/18,17,30.6
2014/8/18,18,30.2
2014/8/18,19,29.5
2014/8/18,20,29.1
2014/8/18,21,29
2014/8/18,22,28.4
2014/8/18,23,27.9
2014/8/19,0,27.6
2014/8/19,1,27.4
2014/8/19,2,27.3
2014/8/19,3,27.1
2014/8/19,4,26.7
2014/8/19,5,26.7
2014/8/19,6,28.3
2014/8/19,7,29.7
2014/8/19,8,30.6
2014/8/19,9,32.2
2014/8/19,10,33.6
2014/8/19,11,33.3
2014/8/19,12,33.7
2014/8/19,13,33.7
2014/8/19,14,32.9
2014/8/19,15,32.9
2014/8/19,16,32.2
2014/8/19,17,31.4
2014/8/19,18,30.7
2014/8/19,19,30.3
2014/8/19,20,30.1
2014/8/19,21,30
2014/8/19,22,29.8
2014/8/19,23,29.4
2014/8/20,0,29.2
2014/8/20,1,28.5
2014/8/20,2,28.7
2014/8/20,3,28.2
2014/8/20,4,28.1
2014/8/20,5,28.6
2014/8/20,6,29.4
2014/8/20,7,30.8
2014/8/20,8,31.3
2014/8/20,9,33.5
2014/8/20,10,33.7
2014/8/20,11,33.3
2014/8/20,12,33.4
2014/8/20,13,34.1
2014/8/20,14,34.1
2014/8/20,15,33
2014/8/20,16,32.7
2014/8/20,17,31.9
2014/8/20,18,31.4
2014/8/20,19,31.2
2014/8/20,20,31
2014/8/20,21,30.7
2014/8/20,22,30.6
2014/8/20,23,29.6
2014/8/21,0,29
2014/8/21,1,28.1
2014/8/21,2,28.1
2014/8/21,3,27.9
2014/8/21,4,28
2014/8/21,5,27.8
2014/8/21,6,28.6
2014/8/21,7,29.3
2014/8/21,8,30.9
2014/8/21,9,32.5
2014/8/21,10,33
2014/8/21,11,33
2014/8/21,12,33.4
2014/8/21,13,33.2
2014/8/21,14,32.7
2014/8/21,15,32.3
2014/8/21,16,31.8
2014/8/21,17,31.5
2014/8/21,18,31.1
2014/8/21,19,30.7
2014/8/21,20,30.7
2014/8/21,21,30.1
2014/8/21,22,29.9
2014/8/21,23,29.1
2014/8/22,0,28.9
2014/8/22,1,28.4
2014/8/22,2,28.2
2014/8/22,3,28.2
2014/8/22,4,28
2014/8/22,5,28.2
2014/8/22,6,28.4
2014/8/22,7,29.4
2014/8/22,8,30.6
2014/8/22,9,32.3
2014/8/22,10,32.8
2014/8/22,11,33.1
2014/8/22,12,33.7
2014/8/22,13,33.2
2014/8/22,14,32.3
2014/8/22,15,31.3
2014/8/22,16,31.2
2014/8/22,17,30.4
2014/8/22,18,30.4
2014/8/22,19,30
2014/8/22,20,30
2014/8/22,21,29.5
2014/8/22,22,28.5
2014/8/22,23,28.3
2014/8/23,0,27.8
2014/8/23,1,27.1
2014/8/23,2,26.9
2014/8/23,3,26.9
2014/8/23,4,27
2014/8/23,5,27.8
2014/8/23,6,27.9
2014/8/23,7,28.5
2014/8/23,8,29.9
2014/8/23,9,30
2014/8/23,10,29.3
2014/8/23,11,27.2
2014/8/23,12,26.1
2014/8/23,13,26.3
2014/8/23,14,27.8
2014/8/23,15,28.6
2014/8/23,16,28.2
2014/8/23,17,27.6
2014/8/23,18,27.6
2014/8/23,19,27.3
2014/8/23,20,27
2014/8/23,21,26.7
2014/8/23,22,26.6
2014/8/23,23,26.3
2014/8/24,0,26.6
2014/8/24,1,26.2
2014/8/24,2,26.1
2014/8/24,3,25.5
2014/8/24,4,26
2014/8/24,5,26
2014/8/24,6,26.5
2014/8/24,7,28
2014/8/24,8,29
2014/8/24,9,29.2
2014/8/24,10,30
2014/8/24,11,31.4
2014/8/24,12,31.4
2014/8/24,13,31.5
2014/8/24,14,29.9
2014/8/24,15,30.4
2014/8/24,16,29.8
2014/8/24,17,29.1
2014/8/24,18,28.5
2014/8/24,19,28.5
2014/8/24,20,28.2
2014/8/24,21,28.5
2014/8/24,22,28.1
2014/8/24,23,27.8
2014/8/25,0,27.6
2014/8/25,1,27
2014/8/25,2,26.8
2014/8/25,3,26.6
2014/8/25,4,26.6
2014/8/25,5,26.5
2014/8/25,6,26.3
2014/8/25,7,26.4
2014/8/25,8,26.9
2014/8/25,9,25.8
2014/8/25,10,25
2014/8/25,11,26
2014/8/25,12,27.5
2014/8/25,13,27.7
2014/8/25,14,28.7
2014/8/25,15,28.6
2014/8/25,16,28.1
2014/8/25,17,27.7
2014/8/25,18,27.6
2014/8/25,19,27.5
2014/8/25,20,26.9
2014/8/25,21,26.7
2014/8/25,22,26.5
2014/8/25,23,26.7
2014/8/26,0,26.7
2014/8/26,1,26.7
2014/8/26,2,26.4
2014/8/26,3,26.2
2014/8/26,4,25.6
2014/8/26,5,25.1
2014/8/26,6,25.3
2014/8/26,7,25.4
2014/8/26,8,26
2014/8/26,9,26.4
2014/8/26,10,26.2
2014/8/26,11,26.2
2014/8/26,12,25.9
2014/8/26,13,26
2014/8/26,14,26.2
2014/8/26,15,24.3
2014/8/26,16,24.4
2014/8/26,17,24.5
2014/8/26,18,23.6
2014/8/26,19,23.8
2014/8/26,20,23.8
2014/8/26,21,23.8
2014/8/26,22,23.7
2014/8/26,23,23.4
2014/8/27,0,22
2014/8/27,1,22.2
2014/8/27,2,21.9
2014/8/27,3,22.1
2014/8/27,4,21.5
2014/8/27,5,20.9
2014/8/27,6,20.7
2014/8/27,7,20.4
2014/8/27,8,20.5
2014/8/27,9,20.9
2014/8/27,10,21.1
2014/8/27,11,21
2014/8/27,12,21.7
2014/8/27,13,22
2014/8/27,14,22.3
2014/8/27,15,22.4
2014/8/27,16,22.3
2014/8/27,17,21.4
2014/8/27,18,21
2014/8/27,19,20.6
2014/8/27,20,20.4
2014/8/27,21,20.2
2014/8/27,22,20.2
2014/8/27,23,20
2014/8/28,0,20.1
2014/8/28,1,19.8
2014/8/28,2,19.8
2014/8/28,3,20.2
2014/8/28,4,19.9
2014/8/28,5,20.1
2014/8/28,6,19.9
2014/8/28,7,20.2
2014/8/28,8,20.7
2014/8/28,9,21.3
2014/8/28,10,22
2014/8/28,11,21.6
2014/8/28,12,21.2
2014/8/28,13,21.7
2014/8/28,14,22.3
2014/8/28,15,22.7
2014/8/28,16,22.2
2014/8/28,17,21.9
2014/8/28,18,21.4
2014/8/28,19,21.5
2014/8/28,20,21.6
2014/8/28,21,21.8
2014/8/28,22,21.5
2014/8/28,23,21.3
2014/8/29,0,21.5
2014/8/29,1,21.4
2014/8/29,2,21.1
2014/8/29,3,21
2014/8/29,4,21.2
2014/8/29,5,21.3
2014/8/29,6,21.5
2014/8/29,7,21.6
2014/8/29,8,22.7
2014/8/29,9,23.4
2014/8/29,10,24.3
2014/8/29,11,25.1
2014/8/29,12,25.4
2014/8/29,13,25.8
2014/8/29,14,25.6
2014/8/29,15,25.7
2014/8/29,16,24.4
2014/8/29,17,24.1
2014/8/29,18,24
2014/8/29,19,24.1
2014/8/29,20,23.7
2014/8/29,21,23.5
2014/8/29,22,22.9
2014/8/29,23,22.7
2014/8/30,0,22.7
2014/8/30,1,21.4
2014/8/30,2,21
2014/8/30,3,20.9
2014/8/30,4,20.3
2014/8/30,5,20.2
2014/8/30,6,20.1
2014/8/30,7,20.8
2014/8/30,8,21.6
2014/8/30,9,22.8
2014/8/30,10,24
2014/8/30,11,24.5
2014/8/30,12,25
2014/8/30,13,25.2
2014/8/30,14,25
2014/8/30,15,25
2014/8/30,16,24.3
2014/8/30,17,23.7
2014/8/30,18,22.9
2014/8/30,19,22.7
2014/8/30,20,22.4
2014/8/30,21,22.5
2014/8/30,22,22.1
2014/8/30,23,22
2014/8/31,0,21.9
2014/8/31,1,21.8
2014/8/31,2,21.9
2014/8/31,3,21.6
2014/8/31,4,21.4
2014/8/31,5,21.4
2014/8/31,6,21.7
2014/8/31,7,22.4
2014/8/31,8,22.9
2014/8/31,9,23.1
2014/8/31,10,23.3
2014/8/31,11,24.5
2014/8/31,12,24.3
2014/8/31,13,25.4
2014/8/31,14,25.7
2014/8/31,15,25.4
2014/8/31,16,25.4
2014/8/31,17,24.6
2014/8/31,18,23.9
2014/8/31,19,23.1
2014/8/31,20,22.8
2014/8/31,21,22.7
2014/8/31,22,22.6
2014/8/31,23,22.6
