wagea,T,years,wageb
19,1,4,18
27,0,22,27
20,1,2,18
36,1,14,34
28,0,6,28
18,0,4,18
31,0,19,31
29,0,19,29
30,0,21,30
24,0,12,23
21,1,3,20
31,0,13,31
26,0,13,26
35,0,19,34
33,0,13,33
23,0,1,23
33,0,16,33
18,0,2,18
19,0,2,18
33,0,13,33
33,0,18,33
19,0,1,19
33,0,14,32
25,0,15,25
30,0,10,30
34,0,15,34
24,1,13,23
26,0,3,26
31,0,21,31
21,0,1,21
32,0,10,32
23,0,6,22
27,0,6,27
19,1,5,18
26,1,18,25
25,0,6,24
18,0,1,18
18,0,3,18
32,0,13,31
19,1,6,18
31,0,19,31
37,0,24,37
30,1,8,29
25,1,8,24
23,1,3,22
18,0,0,18
25,0,7,25
23,0,9,23
24,0,5,24
27,1,2,25
28,0,11,28
25,0,15,24
22,0,10,22
23,0,7,23
30,1,4,28
23,1,1,21
23,0,12,23
21,0,2,21
21,0,3,21
26,1,10,24
26,0,13,26
27,1,9,26
27,1,1,24
20,1,2,19
33,0,14,33
34,0,13,34
22,0,6,21
32,0,19,32
21,1,1,19
31,0,25,31
38,0,23,38
34,0,14,34
37,0,19,37
20,1,6,19
34,0,22,34
30,0,12,30
22,0,10,22
24,0,2,24
24,0,13,24
21,0,9,21
26,1,1,24
30,0,14,30
18,0,2,18
25,0,2,24
33,0,11,33
31,0,10,31
18,0,2,18
38,0,23,38
24,0,8,23
28,0,4,28
29,0,12,29
27,0,9,27
37,0,23,37
25,0,13,25
35,0,24,35
18,0,1,18
20,1,7,19
30,0,11,30
33,0,18,33
25,0,16,25
24,0,4,24
24,0,4,24
32,1,13,31
20,1,6,19
27,0,16,26
23,0,10,23
21,1,2,18
29,1,9,28
19,1,2,18
23,0,8,23
19,1,3,18
24,0,12,24
23,0,10,23
25,0,13,25
21,0,7,21
32,0,10,32
25,0,11,25
21,0,8,20
24,1,7,23
35,0,25,35
37,0,24,37
22,0,6,22
33,0,14,33
27,1,2,26
22,0,7,21
31,0,19,31
27,0,11,26
33,1,10,32
25,1,4,24
31,1,10,30
39,0,24,39
19,1,7,19
22,0,4,22
33,0,17,33
25,0,16,25
29,0,9,29
27,1,7,26
26,0,9,26
19,0,0,18
19,0,7,19
31,1,6,29
38,0,21,38
31,0,13,30
27,0,12,27
19,0,4,19
20,0,7,20
26,1,11,25
37,0,21,37
19,0,3,19
29,1,15,28
32,1,17,31
28,0,11,28
22,0,3,22
23,0,9,23
37,0,23,37
21,1,9,20
31,1,13,30
28,1,12,27
18,0,2,18
34,1,14,32
26,1,12,24
25,1,6,24
35,1,17,33
23,1,3,21
32,0,22,32
34,0,20,33
31,1,14,30
20,1,0,18
33,0,14,33
22,1,4,21
39,0,24,39
22,0,5,22
19,0,5,19
23,0,8,22
35,0,16,35
18,0,1,18
25,0,13,25
19,0,6,19
31,0,15,31
20,0,5,20
29,1,10,28
29,1,19,28
26,1,10,25
21,1,4,20
34,0,14,34
25,0,16,25
28,1,14,26
24,1,10,23
30,0,11,30
28,0,5,28
20,1,1,18
35,0,23,35
18,0,0,18
20,0,1,19
28,0,5,28
18,0,1,18
19,1,3,18
28,0,19,28
21,0,5,21
19,0,2,18
21,0,10,21
18,0,2,18
24,0,5,24
32,0,19,32
27,1,7,26
32,0,21,32
19,0,6,19
35,1,13,34
30,1,9,29
27,1,12,26
28,0,20,28
21,0,6,21
25,1,3,24
18,0,1,18
29,0,12,29
25,0,15,25
28,0,6,27
30,0,6,30
23,0,10,23
23,0,4,23
29,0,11,28
22,0,1,22
19,0,3,19
24,0,5,24
20,0,6,19
29,0,13,29
21,1,1,19
23,0,6,23
37,0,17,36
25,0,5,25
27,1,13,26
26,0,3,26
21,0,4,21
33,0,12,32
28,0,7,28
22,0,5,22
27,0,10,27
23,0,4,23
25,0,1,24
18,0,4,18
31,0,11,31
26,1,3,25
28,1,3,27
33,0,12,33
33,1,16,32
27,1,16,25
27,0,20,27
29,1,13,28
26,0,5,25
25,0,14,25
19,1,3,18
18,0,3,18
25,0,14,25
34,0,15,34
22,0,5,22
28,1,5,27
33,0,15,33
34,0,13,34
18,0,0,18
32,0,15,32
34,0,17,34
23,0,13,23
22,0,1,22
23,1,2,22
26,1,8,24
23,0,9,23
26,1,17,25
19,0,2,19
28,0,7,28
34,0,22,34
35,1,15,35
20,1,1,18
33,1,19,32
32,1,11,31
18,0,4,18
25,1,10,24
27,0,11,26
18,0,2,18
19,1,2,18
31,0,16,31
25,1,7,24
26,1,3,25
25,0,4,25
26,0,12,26
38,0,23,37
21,0,6,21
32,0,18,32
18,0,0,18
24,1,9,22
21,0,6,21
29,0,8,29
21,1,3,20
34,0,14,34
24,0,14,24
33,0,11,33
29,0,9,29
31,0,23,31
21,0,10,21
24,1,2,22
22,1,3,20
35,0,16,35
23,1,10,22
26,0,10,26
24,1,1,23
24,0,4,24
29,0,19,29
33,0,18,32
30,0,8,30
29,0,16,29
31,0,21,30
26,1,6,25
25,0,9,25
33,1,12,32
23,0,11,23
31,0,15,31
24,0,14,23
23,0,8,23
34,0,13,34
27,0,19,26
18,0,3,18
22,1,7,21
33,0,9,32
26,0,9,26
28,1,8,27
24,1,12,22
22,1,6,21
25,0,2,25
27,0,6,27
20,1,1,18
37,0,24,37
20,0,7,20
32,0,21,31
34,1,12,33
30,0,15,30
20,0,9,20
28,1,3,27
31,0,11,31
28,0,23,28
32,0,23,32
22,0,4,22
28,0,8,27
32,0,13,32
24,1,1,22
28,1,21,27
25,1,12,24
22,0,12,22
29,0,18,28
30,1,6,29
22,0,12,22
18,0,3,18
18,0,1,18
20,0,7,20
29,0,9,28
28,0,12,28
28,0,8,28
19,0,4,19
27,0,3,27
23,0,7,22
23,1,4,22
26,0,18,26
30,0,11,29
23,0,10,23
21,0,3,21
25,0,3,25
24,1,7,22
35,1,19,34
33,0,15,33
26,0,13,26
25,0,5,25
35,0,12,34
27,0,9,27
36,1,13,34
24,0,12,24
26,0,12,25
20,1,1,18
28,0,13,28
27,0,6,27
19,0,7,19
18,0,0,18
32,0,13,32
29,1,14,27
27,0,7,27
28,1,16,27
27,1,13,26
29,0,10,29
18,0,0,18
33,1,12,32
27,0,10,27
32,0,20,32
29,0,8,29
25,1,8,24
21,1,6,20
26,0,16,26
33,0,11,32
21,1,3,19
25,1,3,24
20,0,8,20
31,1,24,30
26,1,12,25
32,0,23,32
22,0,1,22
25,0,2,25
24,1,1,22
29,0,16,29
19,0,3,18
20,0,8,20
22,0,3,22
20,0,8,20
33,0,21,33
21,0,3,21
19,0,7,19
24,1,4,23
37,0,22,36
24,1,4,23
19,0,7,19
25,0,8,24
22,1,7,20
20,1,6,18
32,0,11,31
24,0,9,24
18,0,0,18
37,0,24,37
25,1,7,24
24,1,13,23
18,0,0,18
34,1,16,33
19,0,2,18
18,0,3,18
27,1,7,26
25,0,8,24
23,0,6,23
19,1,3,18
31,0,25,31
27,1,5,26
21,1,7,20
28,0,18,28
18,0,1,18
23,0,2,22
33,0,11,33
23,1,8,22
31,0,21,31
18,0,4,18
34,0,15,33
18,0,4,18
32,0,14,32
27,1,18,26
29,0,8,29
30,1,17,29
27,0,9,27
27,0,4,27
23,0,11,23
35,0,22,35
26,0,17,26
27,1,14,26
32,0,13,32
29,0,10,28
23,1,11,22
22,1,7,20
23,1,2,22
18,0,2,18
19,0,3,18
28,0,11,28
24,1,7,23
30,0,6,30
21,1,6,20
31,1,14,30
27,1,10,26
29,0,13,29
31,0,11,31
18,0,1,18
31,0,13,31
37,0,22,37
32,0,24,32
32,0,11,32
36,0,21,36
22,0,10,21
27,1,2,25
22,0,4,22
25,0,6,24
18,0,2,18
35,0,23,35
31,0,17,31
32,0,18,32
21,0,5,21
22,0,8,21
30,0,7,29
19,1,4,18
32,0,19,32
38,0,21,38
18,0,1,18
31,1,9,30
33,0,18,33
31,0,11,31
22,0,12,22
30,0,14,30
19,1,4,18
28,1,6,26
26,1,2,25
29,0,12,29
31,1,15,30
33,0,21,33
32,0,17,32
30,1,11,28
29,0,24,29
19,1,2,18
34,0,13,34
35,0,15,35
20,0,5,20
30,1,8,29
28,1,7,27
30,0,18,30
24,1,6,23
28,0,5,28
37,0,23,37
26,1,12,25
26,1,14,25
24,1,1,23
31,0,11,31
20,1,0,18
35,0,17,35
19,1,2,18
23,0,9,23
36,0,18,36
19,0,3,18
34,0,14,33
36,1,22,35
23,0,10,23
29,0,24,28
19,0,6,19
32,0,13,32
29,0,24,28
24,1,2,23
20,1,0,18
24,0,3,24
19,0,3,18
22,1,5,21
19,0,3,18
34,1,11,33
25,0,5,24
27,0,10,26
38,0,23,37
21,0,7,21
18,0,3,18
25,0,10,25
25,0,7,24
18,0,5,18
34,0,23,34
18,0,5,18
36,0,18,36
29,0,13,29
18,0,1,18
26,0,9,26
20,1,7,19
30,0,24,30
29,0,23,28
24,0,7,24
30,1,8,28
29,1,13,28
27,1,9,26
26,0,11,26
31,0,12,31
25,0,2,25
33,0,24,33
25,0,11,25
31,0,14,31
28,0,7,28
29,0,12,29
26,0,12,26
21,1,2,20
28,0,21,28
26,1,11,24
22,1,8,21
25,1,1,23
28,0,11,28
24,0,8,23
20,1,4,19
26,0,5,26
34,0,23,34
34,0,22,34
26,1,5,25
36,1,14,35
30,1,9,29
27,1,5,26
27,0,19,27
23,1,5,21
33,0,12,33
24,1,5,23
29,0,24,28
26,0,10,26
25,1,13,23
23,1,12,22
34,1,14,33
34,1,11,33
23,0,1,23
30,0,9,30
18,0,4,18
25,1,11,24
30,0,12,30
23,0,3,23
19,1,3,18
28,0,10,28
33,0,11,33
24,0,13,24
26,0,8,26
39,0,24,39
29,0,15,29
26,1,9,25
24,0,8,24
32,0,18,32
21,0,8,21
26,0,5,25
27,0,4,26
23,0,10,23
26,0,9,26
22,0,9,22
23,0,3,23
19,0,2,19
19,0,5,19
31,0,13,31
20,1,3,19
28,0,11,28
28,0,10,28
32,0,13,32
18,0,4,18
35,0,24,35
19,0,1,18
33,0,16,32
20,0,5,20
24,0,14,24
29,1,7,27
29,1,6,27
22,1,8,21
25,1,11,24
23,0,11,23
31,0,23,31
32,0,14,31
18,0,1,18
22,1,7,21
28,0,24,28
38,0,22,37
22,0,5,22
20,1,2,18
24,0,9,24
25,0,10,25
19,0,4,19
18,0,2,18
18,0,2,18
25,0,12,25
34,1,13,33
37,0,25,37
21,1,7,20
36,0,21,35
22,0,5,22
23,0,9,23
21,1,1,18
28,1,21,27
26,1,13,25
24,1,10,23
30,0,21,30
34,0,15,34
32,0,9,31
27,0,9,26
22,0,7,21
23,1,10,23
19,0,4,18
23,0,5,23
27,0,20,27
31,0,11,31
27,1,8,26
30,0,7,30
40,0,25,39
33,0,18,33
30,1,25,29
28,0,21,28
21,0,5,21
35,0,14,35
28,1,4,27
31,1,15,30
20,1,4,19
37,0,20,37
34,0,16,33
35,0,15,34
32,0,14,31
26,1,17,25
25,0,15,25
29,0,6,29
31,0,10,31
33,0,23,33
34,0,18,34
30,0,24,30
21,1,4,20
28,0,12,28
19,0,2,18
26,1,7,25
31,0,23,31
33,0,22,33
31,0,10,30
28,0,13,28
30,1,20,29
37,0,20,37
19,1,4,18
23,0,1,22
24,0,7,24
33,0,16,32
25,0,4,25
24,1,7,22
20,1,6,19
30,0,8,30
26,1,9,25
30,0,10,30
18,0,5,18
25,0,11,25
25,1,5,24
33,1,23,31
22,0,5,22
22,1,4,21
31,0,18,31
29,0,15,29
27,1,14,26
30,0,13,30
19,0,4,19
23,0,2,23
30,0,9,30
22,0,3,22
27,0,9,27
20,0,8,20
20,1,2,19
24,0,4,24
24,1,15,23
35,0,18,35
26,0,18,26
25,0,15,25
25,0,3,24
21,1,9,20
27,1,12,26
36,0,21,36
23,0,12,23
21,0,5,21
26,0,11,25
21,0,1,20
29,0,17,29
19,0,2,19
24,1,8,23
35,0,14,34
37,0,24,36
25,1,2,24
33,1,11,32
23,0,2,23
33,0,14,33
22,0,1,22
28,1,4,27
34,0,17,34
32,1,21,31
32,0,12,32
31,1,9,30
25,0,14,25
23,0,11,23
30,0,7,30
27,0,10,26
25,0,16,25
32,0,9,32
21,0,11,21
19,1,1,18
30,0,18,30
22,1,4,21
26,0,5,26
27,1,11,25
34,0,20,34
29,1,6,27
33,0,16,33
32,0,9,32
20,1,1,19
37,0,24,36
21,0,6,21
24,1,7,23
33,0,20,33
30,0,6,30
34,1,12,33
23,0,9,23
23,0,7,23
31,1,9,30
32,1,13,31
30,1,18,29
34,1,17,33
19,1,4,18
28,0,6,28
34,0,12,33
18,0,3,18
24,0,15,24
20,0,4,20
26,0,11,26
26,0,7,26
23,0,4,22
27,0,13,26
25,0,11,25
31,0,14,30
22,0,9,21
29,1,14,28
29,0,21,29
26,0,14,25
